Naval Base Name,Operated by,Homeported ships,Type,Established
Sevastopol Naval Base,🇷🇺 Russia · in 🇺🇦 Ukraine,Kilo +1,Fleet headquarters,1783
Severodvinsk Naval Base,🇷🇺 Russia,0,Shipyard & arsenal,1936
Severomorsk Naval Base,🇷🇺 Russia,0,Fleet headquarters,1947
Subi Reef,🇨🇳 China,0,Main operating base,2015
Sürmene Naval Base,🇹🇷 Turkey,0,Main operating base,0
Tartus Naval BaseInactive,🇷🇺 Russia · in 🇸🇾 Syria,Admiral Sergei Gorshkov +1,Support & logistics,1971
Toulon Naval Base,🇫🇷 France,Charles de Gaulle,Fleet headquarters,1599
UK Joint Logistics Support Base Duqm,🇬🇧 United Kingdom · in 🇴🇲 Oman,0,Support & logistics,2018
UK Naval Support Facility Bahrain,🇬🇧 United Kingdom · in 🇧🇭 Bahrain,0,Main operating base,1935
Ushuaia Naval Base,🇦🇷 Argentina,0,Main operating base,1950
Vidyayevo Naval Base,🇷🇺 Russia,Akula +2,Submarine base,1958
Naval Base Name,Operated by,Homeported ships,Type,Established
Vilyuchinsk Naval Base,🇷🇺 Russia,0,Submarine base,1938
Vladivostok Naval Base,🇷🇺 Russia,0,Fleet headquarters,1871
Warnemünde Naval Base,🇩🇪 Germany,Braunschweig +1,Main operating base,1913
Wilhelmshaven Naval Base,🇩🇪 Germany,Brandenburg +2,Main operating base,1968
Yuchi Naval Base,🇨🇳 China,Type 001,Main operating base,1950
Yulin Naval Base,🇨🇳 China,0,Main operating base,0
Zapadnaya Litsa Naval Base,🇷🇺 Russia,0,Submarine base,1958
Zhanjiang Naval Base,🇨🇳 China,0,Fleet headquarters,1955
Zhoushan Naval Base,🇨🇳 China,0,Main operating base,0
Île Longue,🇫🇷 France,Le Triomphant,Submarine base,1972
İskenderun Naval Base,🇹🇷 Turkey,0,Main operating base,1953
