SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
aqm-34-lightning-bug,https://globalmilitary.net/aircraft/aqm-34-lightning-bug/,AQM-34 Lightning Bug,,8.8 m (28.9 ft),4 m (13.1 ft),,,,,1 × Continental J69-T-41A 871 kgf each,,"1,900 km (1,181 mi)","20,000 m (65,617 ft)",,,8 hours
as-202-bravo,https://globalmilitary.net/aircraft/as-202-bravo/,AS 202 Bravo,1–2,7.5 m (24.6 ft),9.8 m (32.0 ft),2.8 m (9.2 ft),13.9 m² (149.2 sqft),"630 kg (1,389 lbs)","999 kg (2,202 lbs)",1 × Lycoming O-320-E2A 112 kW each,211 km/h (131 mph),890 km (553 mi),"4,265 m (13,993 ft)",,3.22 m/s (10.6 ft/s),
as-332-super-puma,https://globalmilitary.net/aircraft/as-332-super-puma/,AS332 Super Puma,2,16.8 m (55.1 ft),16.2 m (53.1 ft),5.0 m (16.3 ft),206.1 m² (2218.7 sqft),"4,660 kg (10,274 lbs)","9,150 kg (20,172 lbs)","2 × Turbomeca Makila 1A2 1,376 kW each",327 km/h (203 mph),851 km (529 mi),"5,180 m (16,995 ft)",,7.4 m/s (24.3 ft/s),
as-565-panther,https://globalmilitary.net/aircraft/as-565-panther/,AS565 Panther,1–2,13.7 m (44.9 ft),11.9 m (39.2 ft),4.0 m (13.0 ft),112.0 m² (1205.3 sqft),"2,380 kg (5,247 lbs)","4,300 kg (9,480 lbs)",2 × Turboméca Arriel 2C turboshaft 635 kW each,306 km/h (190 mph),827 km (514 mi),"5,865 m (19,242 ft)",,8.9 m/s (29.2 ft/s),4 hours
asn-209,https://globalmilitary.net/aircraft/asn-209/,ASN-209 Silver Eagle,,4.3 m (14.0 ft),7.5 m (24.6 ft),1.5 m (5.0 ft),,,320 kg (705 lbs),,180 km/h (112 mph),200 km (124 mi),"5,000 m (16,404 ft)",,,10 hours
at-3-tsu-chiang,https://globalmilitary.net/aircraft/at-3-tsu-chiang/,AT-3 Tsu Chiang,,12.9 m (42.3 ft),10.5 m (34.3 ft),4.4 m (14.3 ft),21.9 m² (236.1 sqft),"3,856 kg (8,501 lbs)","7,940 kg (17,505 lbs)","2 × turbofans Honeywell TFE731-2 1,588 kgf each",904 km/h (562 mph),"2,280 km (1,417 mi)","14,650 m (48,064 ft)",Martin-Baker Mk 10,,
atl-2-atlantique,https://globalmilitary.net/aircraft/atl-2-atlantique/,ATL-2 Atlantique,31.7 m (104.1 ft),37.5 m (122.9 ft),11.3 m (37.1 ft),120.3 m² (1295.3 sqft),"25,300 kg (55,777 lbs)","46,200 kg (101,853 lbs)","2 × turboprops Rolls-Royce Tyne RTy.20 Mk 21 4,549 kW each",648 km/h (403 mph),"7,964 km (4,949 mi)",18 hours,"9,150 m (30,020 ft)",10.16 m/s (33.3 ft/s),"1,840 m (6,037 ft)",,
atr-42,https://globalmilitary.net/aircraft/atr-42/,ATR-42,22.7 m (74.4 ft),24.6 m (80.6 ft),7.6 m (24.9 ft),54.5 m² (586.6 sqft),"11,250 kg (24,802 lbs)","18,600 kg (41,006 lbs)","2 × turboprops Pratt & Whitney Canada PW127E 1,790 kW each",556 km/h (345 mph),"1,326 km (824 mi)",,"7,620 m (25,000 ft)",,"1,165 m (3,822 ft)",,
atr-72,https://globalmilitary.net/aircraft/atr-72/,ATR-72,27.2 m (89.1 ft),27.1 m (88.7 ft),7.7 m (25.1 ft),61 m² (656.6 sqft),"12,950 kg (28,550 lbs)","22,500 kg (49,604 lbs)","2 × turboprops Pratt & Whitney Canada PW127F 2,051 kW each",565 km/h (351 mph),"1,404 km (872 mi)",,"7,620 m (25,000 ft)",,"1,223 m (4,012 ft)",,
av-8b-harrier-ii,https://globalmilitary.net/aircraft/av-8b-harrier-ii/,AV-8B Harrier II,14.1 m (46.3 ft),9.3 m (30.3 ft),3.6 m (11.6 ft),22.6 m² (243.4 sqft),"6,340 kg (13,977 lbs)","14,100 kg (31,085 lbs)","1 × turbojet Rolls-Royce Pegasus F402-RR-408 10,500 kgf each",1070 km/h (Mach 1.07),"3,300 km (2,051 mi)",,"15,240 m (50,000 ft)",75.0 m/s (246.1 ft/s),,1,UPC Stencel SJU-4/7A
