SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
sokil-300,https://globalmilitary.net/aircraft/sokil-300/,Sokil-300,8.6 m (28.1 ft),14 m (45.9 ft),1 × Rotax 914 (turbocharged),"3,300 km (2,051 mi)",,"1,225 kg (2,701 lbs)",335 km/h (208 mph),26 hours,"12,000 m (39,370 ft)",,,,,,
g4-super-galeb,https://globalmilitary.net/aircraft/g4-super-galeb/,Soko G-4 Super Galeb,12.3 m (40.2 ft),9.9 m (32.4 ft),"1 × Rolls-Royce Viper 632-46 turbojet 1,815 kgf each","1,900 km (1,181 mi)","3,250 kg (7,165 lbs)","6,330 kg (13,955 lbs)",910 km/h (565 mph),,"12,850 m (42,159 ft)",4.3 m (14.1 ft),19.5 m² (209.9 sqft),31.0 m/s (101.7 ft/s),"2 (student, instructor)",,Martin-Baker
sokol-altius,https://globalmilitary.net/aircraft/sokol-altius/,Sokol Altius,11.6 m (38.1 ft),28.5 m (93.5 ft),2 × turboprop engines,"10,000 km (6,214 mi)","6,000 kg (13,228 lbs)","6,000 kg (13,228 lbs)",350 km/h (217 mph),48 hours,"12,000 m (39,370 ft)",,,,,,
sperwer,https://globalmilitary.net/aircraft/sperwer/,Sperwer,,,,150 km (93 mi),,,,5 hours,"4,877 m (16,001 ft)",,,,,,
strikemaster,https://globalmilitary.net/aircraft/strikemaster/,Strikemaster,10.3 m (33.7 ft),11.2 m (36.8 ft),1 × Rolls-Royce Viper Mk.535 14 kN each,"2,224 km (1,382 mi)","2,810 kg (6,195 lbs)","5,216 kg (11,499 lbs)",774 km/h (481 mph),,"12,000 m (39,370 ft)",3.3 m (11.0 ft),19.9 m² (213.7 sqft),26.7 m/s (87.6 ft/s),2,,
su-11-fishpot,https://globalmilitary.net/aircraft/su-11-fishpot/,Su-11 Fishpot,18.2 m (59.8 ft),8.5 m (28.0 ft),1 × Lyulka AL-7F-2 99 kN each,"1,125 km (699 mi)","8,562 kg (18,876 lbs)","13,986 kg (30,834 lbs)",2340 km/h (Mach 2.34),1 hours,"18,000 m (59,055 ft)",4.7 m (15.4 ft),34 m² (366.0 sqft),136.7 m/s (448.5 ft/s),1,,
su-15-flagon,https://globalmilitary.net/aircraft/su-15-flagon/,Su-15 Flagon,19.6 m (64.2 ft),9.4 m (30.9 ft),"2 × turbojets Tumansky R-13F-300 7,138 kgf each","1,700 km (1,056 mi)","10,760 kg (23,722 lbs)","17,900 kg (39,463 lbs)",2230 km/h (Mach 2.23),,"18,100 m (59,383 ft)",4.8 m (15.9 ft),36.6 m² (394.0 sqft),228.0 m/s (748.0 ft/s),1,,Severin KS-4
su-17-20-22-fitter,https://globalmilitary.net/aircraft/su-17-20-22-fitter/,Su-17 Fitter,15.3 m (50.0 ft),10.0 m (32.6 ft),"1 × turbojet TR-3 4,000 kgf each","2,300 km (1,429 mi)","5,932 kg (13,078 lbs)","7,890 kg (17,394 lbs)",2140 km/h (Mach 2.14),,"14,500 m (47,572 ft)",4.5 m (14.8 ft),27.5 m² (296.0 sqft),47.6 m/s (156.2 ft/s),1,,Severin KS-4
su-24-fencer,https://globalmilitary.net/aircraft/su-24-fencer/,Su-24 Fencer,24.5 m (80.5 ft),17.6 m (57.9 ft),"2 × turbojets Saturn AL-21F-3 11,196 kgf each","2,775 km (1,724 mi)","22,320 kg (49,207 lbs)","39,700 kg (87,523 lbs)",1654 km/h (Mach 1.65),,"16,500 m (54,134 ft)",6.2 m (20.3 ft),46.4 m² (499.4 sqft),150.0 m/s (492.1 ft/s),"2 (pilot, WSO)","850 m (2,789 ft)",Zvezda K-36DM
su-25-frogfoot,https://globalmilitary.net/aircraft/su-25-frogfoot/,Su-25 Frogfoot,15.5 m (51.0 ft),14.4 m (47.1 ft),"2 × turbojets Tumansky R-95Sh 4,505 kgf each","1,000 km (621 mi)","9,500 kg (20,944 lbs)","17,600 kg (38,801 lbs)",970 km/h (603 mph),,"7,000 m (22,966 ft)",4.8 m (15.7 ft),30.1 m² (324.0 sqft),58.0 m/s (190.3 ft/s),1,"550 m (1,804 ft)",Zvezda K-36D-5
su-27-flanker,https://globalmilitary.net/aircraft/su-27-flanker/,Su-27 Flanker,21.9 m (72.0 ft),14.7 m (48.2 ft),"2 × turbofans Saturn AL-31F 12,502 kgf each","3,530 km (2,193 mi)","16,300 kg (35,935 lbs)","30,000 kg (66,139 lbs)",2500 km/h (Mach 2.5),,"18,500 m (60,696 ft)",5.9 m (19.5 ft),62.0 m² (667.8 sqft),300.0 m/s (984.3 ft/s),1,"650 m (2,133 ft)",Zvezda K-36DM
su-30-flanker-c,https://globalmilitary.net/aircraft/su-30-flanker-c/,Su-30 Flanker-C,21.9 m (72.0 ft),14.7 m (48.2 ft),"2 × turbofans Saturn AL-31FP 12,500 kgf each","3,000 km (1,864 mi)","17,700 kg (39,022 lbs)","33,000 kg (72,752 lbs)",2125 km/h (Mach 2.12),,"17,500 m (57,415 ft)",6.4 m (20.9 ft),62.0 m² (667.8 sqft),230.0 m/s (754.6 ft/s),"2 (pilot, WSO)","750 m (2,461 ft)",Zvezda K-36DM
su-33-flanker-d,https://globalmilitary.net/aircraft/su-33-flanker-d/,Su-33 Flanker-D,22 m (72.2 ft),15 m (49.2 ft),"2 × turbofans Saturn AL-31F3 12,797 kgf each","3,000 km (1,864 mi)","14,800 kg (32,628 lbs)","33,000 kg (72,752 lbs)",2300 km/h (Mach 2.3),,"18,000 m (59,055 ft)",6 m (19.7 ft),,246.0 m/s (807.1 ft/s),1,,Zvezda K-36DM
su-34-fullback,https://globalmilitary.net/aircraft/su-34-fullback/,Su-34 Fullback,23.3 m (76.6 ft),14.7 m (48.2 ft),"2 × turbofans Saturn AL-31F Srs 3 13,460 kgf each","4,500 km (2,796 mi)","20,000 kg (44,092 lbs)","45,000 kg (99,208 lbs)",1900 km/h (Mach 1.9),,"15,000 m (49,213 ft)",6.4 m (20.9 ft),52.0 m² (560.2 sqft),,"2 (pilot, WSO)","1,260 m (4,134 ft)",Zvezda K-36DM
su-35-flanker-e,https://globalmilitary.net/aircraft/su-35-flanker-e/,Su-35 Flanker-E,21.9 m (71.9 ft),15.3 m (50.2 ft),"2 × turbofans Saturn AL-41F1S 14,000 kgf each","4,500 km (2,796 mi)","19,000 kg (41,888 lbs)","34,500 kg (76,059 lbs)",2400 km/h (Mach 2.4),,"18,000 m (59,055 ft)",5.9 m (19.4 ft),62 m² (667.4 sqft),280.0 m/s (918.6 ft/s),1,,Zvezda K-36D-5
su-37-super-flanker,https://globalmilitary.net/aircraft/su-37-super-flanker/,Su-37 Super Flanker,22.2 m (72.8 ft),14.7 m (48.2 ft),"2 × turbofans Saturn AL-37FU 14,480 kgf each","3,300 km (2,051 mi)","18,500 kg (40,785 lbs)","35,000 kg (77,162 lbs)",2494 km/h (Mach 2.49),,"18,000 m (59,055 ft)",6.4 m (21.1 ft),62 m² (667.4 sqft),230.0 m/s (754.6 ft/s),1,,Zvezda K-36DM
su-47-berkut,https://globalmilitary.net/aircraft/su-47-berkut/,"Su-47 ""Berkut"" Firkin",22.6 m (74.1 ft),15.2 m (49.7 ft),"2 × turbofans Aviadvigatel D-30F6 15,602 kgf each","3,300 km (2,051 mi)","16,375 kg (36,101 lbs)","35,000 kg (77,162 lbs)",2500 km/h (Mach 2.5),,"18,000 m (59,055 ft)",6.3 m (20.7 ft),61.9 m² (666.0 sqft),233.0 m/s (764.4 ft/s),1,,Zvezda K-36DM
su-57-felon,https://globalmilitary.net/aircraft/su-57-felon/,Su-57 Felon,20.1 m (65.9 ft),14.1 m (46.3 ft),"2 × Saturn AL-41F1 afterburning turbofan 14,500 kgf each","4,500 km (2,796 mi)","18,500 kg (40,785 lbs)","35,000 kg (77,162 lbs)",2135 km/h (Mach 2.13),,"20,000 m (65,617 ft)",4.6 m (15.1 ft),78.8 m² (848.2 sqft),,1,,NPP Zvezda K-36D-5
su-7-fitter,https://globalmilitary.net/aircraft/su-7-fitter/,Su-7 Fitter,16.6 m (54.5 ft),9.3 m (30.5 ft),"1 × turbojet Lyulka AL-7F-1 9,596 kgf each","1,650 km (1,025 mi)","8,937 kg (19,703 lbs)","15,210 kg (33,532 lbs)",2150 km/h (Mach 2.15),,"17,600 m (57,743 ft)",5.0 m (16.4 ft),34 m² (366.0 sqft),160.0 m/s (524.9 ft/s),1,"950 m (3,117 ft)",Severin KS-4
su-75-checkmate,https://globalmilitary.net/aircraft/su-75-checkmate/,Su-75 Checkmate,17.7 m (58.1 ft),11.8 m (38.7 ft),"1 × turbofan Saturn AL-51F-1 17,009 kgf each","2,900 km (1,802 mi)",,"26,000 kg (57,320 lbs)",1910 km/h (Mach 1.91),,"16,500 m (54,134 ft)",4 m (13.1 ft),,220.0 m/s (721.8 ft/s),1,,
su-9-su-11-fishpot,https://globalmilitary.net/aircraft/su-9-su-11-fishpot/,Su-9 / Su-11 Fishpot,16.7 m (54.8 ft),8.4 m (27.7 ft),"1 × Lyulka AL-7F 9,060 kgf each","1,800 km (1,118 mi)","8,750 kg (19,290 lbs)",,2135 km/h (Mach 2.13),,"16,800 m (55,118 ft)",,26.3 m² (282.6 sqft),,1,,Severin KS-4
super-etendard,https://globalmilitary.net/aircraft/super-etendard/,Super Etendard,14.3 m (46.9 ft),9.6 m (31.5 ft),"1 × turbojet SNECMA Atar 8K50 4,995 kgf each","1,820 km (1,131 mi)","6,500 kg (14,330 lbs)","12,000 kg (26,455 lbs)",1180 km/h (Mach 1.18),,"13,700 m (44,948 ft)",3.9 m (12.7 ft),28.4 m² (305.7 sqft),100.0 m/s (328.1 ft/s),1,,Martin-Baker Mk 6
super-mystere-b2,https://globalmilitary.net/aircraft/super-mystere-b2/,Super Mystère B2,14.1 m (46.4 ft),10.5 m (34.5 ft),1 × turbojet SNECMA Atar 101G-2 44 kN each,"1,175 km (730 mi)","6,930 kg (15,278 lbs)","10,000 kg (22,046 lbs)",1195 km/h (Mach 1.2),,"17,000 m (55,774 ft)",4.6 m (15.1 ft),32 m² (344.4 sqft),89.0 m/s (292.0 ft/s),1,,
switchblade-300,https://globalmilitary.net/aircraft/switchblade-300/,Switchblade 300,0.5 m (1.6 ft),,1 × Electric motor,10 km (6 mi),3 kg (6 lbs),6 kg (13 lbs),160 km/h (99 mph),,,,,,,,
switchblade-600,https://globalmilitary.net/aircraft/switchblade-600/,Switchblade 600,1.3 m (4.3 ft),,1 × Electric motor,80 km (50 mi),15 kg (33 lbs),15 kg (33 lbs),185 km/h (115 mph),1 hours,,,,,,,
t2-buckeye,https://globalmilitary.net/aircraft/t2-buckeye/,T-2 Buckeye,11 m (36.1 ft),11.6 m (38.1 ft),"2 × turbojets General Electric J85-GE-4 1,338 kgf each","1,683 km (1,046 mi)","3,652 kg (8,051 lbs)","5,931 kg (13,076 lbs)",838 km/h (521 mph),,"13,533 m (44,400 ft)",4.5 m (14.8 ft),24 m² (258.3 sqft),31.5 m/s (103.3 ft/s),2,,North American LS-1
t-23-uirapuru,https://globalmilitary.net/aircraft/t-23-uirapuru/,T-23 Uirapuru,6.6 m (21.7 ft),8.5 m (27.9 ft),1 × Lycoming O-320-B2B 120 kW each,800 km (497 mi),"540 kg (1,190 lbs)","840 kg (1,852 lbs)",225 km/h (140 mph),4 hours,"4,500 m (14,764 ft)",2.7 m (8.9 ft),13.5 m² (145.3 sqft),4.0 m/s (13.1 ft/s),"2 (student, instructor)",,
t-25-universal,https://globalmilitary.net/aircraft/t-25-universal/,T-25 Universal,8.6 m (28.2 ft),11 m (36.1 ft),1 × Lycoming IO-540-K1D5 220 kW each,"1,500 km (932 mi)","1,150 kg (2,535 lbs)","1,700 kg (3,748 lbs)",300 km/h (186 mph),,"6,100 m (20,013 ft)",3 m (9.8 ft),17.2 m² (185.1 sqft),6.66 m/s (21.9 ft/s),2–3,,
t28-trojan,https://globalmilitary.net/aircraft/t28-trojan/,T-28 Trojan,10.1 m (33.0 ft),12.2 m (40.1 ft),"1 × Wright R-1820-86 Cyclone 9-cylinder air-cooled radial engine 1,063 kW each","1,710 km (1,063 mi)","2,914 kg (6,424 lbs)","3,856 kg (8,501 lbs)",552 km/h (343 mph),,"10,800 m (35,433 ft)",3.9 m (12.7 ft),24.9 m² (268.0 sqft),18.0 m/s (59.1 ft/s),2,,
t33-shooting-star,https://globalmilitary.net/aircraft/t33-shooting-star/,T-33 Shooting Star,2,11.5 m (37.8 ft),11.8 m (38.9 ft),3.6 m (11.7 ft),21.8 m² (234.8 sqft),"3,794 kg (8,364 lbs)","6,832 kg (15,062 lbs)","1 × Allison J33-A-35 centrifugal flow turbojet 2,086 kgf each",970 km/h (603 mph),"2,052 km (1,275 mi)","15,000 m (49,213 ft)",24.7 m/s (81.0 ft/s),,,
t34-mentor,https://globalmilitary.net/aircraft/t34-mentor/,T-34 Mentor,,8.8 m (28.7 ft),10.2 m (33.3 ft),2.9 m (9.6 ft),16.7 m² (179.6 sqft),"2,960 kg (6,526 lbs)","4,300 kg (9,480 lbs)",1 × turboprop Pratt & Whitney Canada PT6A-25C 559 kW each,396 km/h (246 mph),"1,311 km (815 mi)","9,144 m (30,000 ft)",7.5 m/s (24.6 ft/s),,,
t35-pillan,https://globalmilitary.net/aircraft/t35-pillan/,T-35 Pillan,2,8 m (26.2 ft),8.8 m (29.0 ft),2.6 m (8.7 ft),13.7 m² (147.4 sqft),"930 kg (2,050 lbs)","1,338 kg (2,950 lbs)",1 × Avco Lycoming AEIO-540-K1K5 6-cylinder pistons engine 224 kW each,311 km/h (193 mph),"1,093 km (679 mi)","5,840 m (19,160 ft)",7.75 m/s (25.4 ft/s),287 m (942 ft),,
t37-tweet,https://globalmilitary.net/aircraft/t37-tweet/,T-37 Tweet,,9 m (29.5 ft),10.1 m (33.1 ft),2.8 m (9.2 ft),17 m² (183.0 sqft),"1,840 kg (4,057 lbs)","2,980 kg (6,570 lbs)",2 × turbojets Continental J69-T-25 465 kgf each,684 km/h (425 mph),"1,500 km (932 mi)","11,948 m (39,199 ft)",17.1 m/s (56.1 ft/s),,Weber T-37,
t38-talon,https://globalmilitary.net/aircraft/t38-talon/,T-38 Talon,2,14.1 m (46.4 ft),7.7 m (25.3 ft),3.9 m (12.9 ft),16 m² (172.2 sqft),"3,266 kg (7,200 lbs)","5,670 kg (12,500 lbs)","2 × turbojets General Electric J85-GE-5A 1,216 kgf each",1381 km/h (Mach 1.38),"1,835 km (1,140 mi)","15,240 m (50,000 ft)",170.7 m/s (560.0 ft/s),,Martin-Baker US16T,
t41-mescalero,https://globalmilitary.net/aircraft/t41-mescalero/,T-41 Mescalero,1,8.2 m (26.9 ft),10.9 m (35.8 ft),2.7 m (8.8 ft),14.8 m² (159.3 sqft),"618 kg (1,362 lbs)","1,134 kg (2,500 lbs)",1 × Continental IO-360-D 160 kW each,232 km/h (144 mph),"1,159 km (720 mi)","5,200 m (17,060 ft)",4.5 m/s (14.8 ft/s),,,
t45-goshawk,https://globalmilitary.net/aircraft/t45-goshawk/,T-45 Goshawk,2,12.0 m (39.3 ft),9.4 m (30.8 ft),4.1 m (13.4 ft),17.7 m² (190.5 sqft),"4,460 kg (9,833 lbs)","6,387 kg (14,081 lbs)","1 × turbojet Rolls-Royce-Turbomeca F405-RR-401 2,507 kgf each",1038 km/h (Mach 1.04),"1,300 km (808 mi)","12,954 m (42,500 ft)",40.6 m/s (133.2 ft/s),,Martin-Baker Mk 14,
t5-brave-eagle,https://globalmilitary.net/aircraft/t5-brave-eagle/,T-5 Brave Eagle,2,13.7 m (44.9 ft),9 m (29.5 ft),4.6 m (15.1 ft),,"4,500 kg (9,921 lbs)",,"2 × turbofans Honeywell F124-GA-200 2,835 kgf each",1030 km/h (Mach 1.03),"1,350 km (839 mi)","13,000 m (42,651 ft)",48.0 m/s (157.5 ft/s),,Martin-Baker Mk 12,
t50-golden-eagle,https://globalmilitary.net/aircraft/t50-golden-eagle/,T-50 Golden Eagle,,13.0 m (42.6 ft),9.2 m (30.1 ft),4.8 m (15.7 ft),23.7 m² (255.0 sqft),"6,441 kg (14,200 lbs)","13,472 kg (29,701 lbs)","1 × turbofan General Electric F404-GE-102 5,409 kgf each",1840 km/h (Mach 1.84),"1,851 km (1,150 mi)","16,764 m (55,000 ft)",198.0 m/s (649.6 ft/s),,Martin-Baker Mk 16K,
t6-texan-ii,https://globalmilitary.net/aircraft/t6-texan-ii/,T-6 Texan II,,10.2 m (33.3 ft),10.2 m (33.4 ft),3.3 m (10.7 ft),16.3 m² (175.2 sqft),"2,135 kg (4,707 lbs)","2,858 kg (6,301 lbs)",1 × turboprop Pratt & Whitney Canada PT6A-68 932 kW each,585 km/h (364 mph),"1,700 km (1,056 mi)","9,449 m (31,001 ft)",16.0 m/s (52.5 ft/s),,Martin-Baker US16LA,
t67-firefly,https://globalmilitary.net/aircraft/t67-firefly/,T-67 Firefly,2,7.6 m (24.8 ft),10.7 m (35.1 ft),2.4 m (7.7 ft),13 m² (139.9 sqft),"794 kg (1,750 lbs)","1,157 kg (2,551 lbs)",1 × pistons engine Lycoming AEIO-540-D 194 kW each,282 km/h (175 mph),753 km (468 mi),"5,791 m (18,999 ft)",7.0 m/s (23.0 ft/s),,,
t7-red-hawk,https://globalmilitary.net/aircraft/t7-red-hawk/,T-7 Red Hawk,2,15.2 m (49.7 ft),10 m (32.8 ft),4 m (13.1 ft),,"3,250 kg (7,165 lbs)","5,500 kg (12,125 lbs)","1 × turbofan General Electric F404-GE-402 8,029 kgf each",1300 km/h (Mach 1.3),"1,830 km (1,137 mi)","15,240 m (50,000 ft)",170.0 m/s (557.7 ft/s),,Collins ACES 5,
t-ch-1-chung-hsing,https://globalmilitary.net/aircraft/t-ch-1-chung-hsing/,T-CH-1 Chung Hsing,2,10.3 m (33.7 ft),12.2 m (40.0 ft),3.7 m (12.0 ft),25.2 m² (271.0 sqft),"2,608 kg (5,750 lbs)","5,057 kg (11,149 lbs)","1 × Avco Lycoming T53-L-701 turboprop 1,082 kW each",590 km/h (367 mph),"2,010 km (1,249 mi)","9,800 m (32,152 ft)",17.0 m/s (55.8 ft/s),,,
t129,https://globalmilitary.net/aircraft/t129/,T129 ATAK,2,14.5 m (47.7 ft),11.9 m (39.0 ft),3.4 m (11.2 ft),111.2 m² (1197.2 sqft),"2,350 kg (5,181 lbs)","5,056 kg (11,147 lbs)","2 × LHTEC CTS800-4A 1,024 kW each",281 km/h (175 mph),537 km (334 mi),"4,572 m (15,000 ft)",13.26 m/s (43.5 ft/s),,,3 hours
tai-aksungur,https://globalmilitary.net/aircraft/tai-aksungur/,TAI Aksungur,,12.5 m (41.0 ft),24.2 m (79.4 ft),3.1 m (10.2 ft),,"1,800 kg (3,968 lbs)","3,300 kg (7,275 lbs)",2 × TEI-PD170 160 kW each,250 km/h (155 mph),"6,500 km (4,039 mi)","12,192 m (40,000 ft)",,,,50 hours
tai-anka,https://globalmilitary.net/aircraft/tai-anka/,TAI Anka,,8.6 m (28.2 ft),17.5 m (57.4 ft),,,"700 kg (1,543 lbs)","1,700 kg (3,748 lbs)",1 × TEI-PD170 130 kW each,217 km/h (135 mph),"2,500 km (1,553 mi)","9,144 m (30,000 ft)",,,,30 hours
anka-3,https://globalmilitary.net/aircraft/anka-3/,TAI Anka-3,,8.9 m (29.2 ft),13.1 m (43.0 ft),2.6 m (8.5 ft),,,"7,250 kg (15,983 lbs)",1 × Ivchenko-Progress AI-322,787 km/h (489 mph),"1,075 km (668 mi)","12,000 m (39,370 ft)",,,,10 hours
tb-001,https://globalmilitary.net/aircraft/tb-001/,TB-001 Twin-tailed Scorpion,,10 m (32.8 ft),20 m (65.6 ft),3.3 m (10.8 ft),,,"2,800 kg (6,173 lbs)",2 × turbocharged-piston engine,,"6,000 km (3,728 mi)","8,000 m (26,247 ft)",,,,35 hours
tb-30-epsilon,https://globalmilitary.net/aircraft/tb-30-epsilon/,TB-30 Epsilon,2,7.6 m (24.9 ft),7.9 m (26.0 ft),2.7 m (8.7 ft),9 m² (96.9 sqft),"932 kg (2,055 lbs)","1,250 kg (2,756 lbs)",1 × pistons engine Lycoming AEIO-540-L1B5D 224 kW each,356 km/h (221 mph),"1,300 km (808 mi)","7,010 m (22,999 ft)",9.4 m/s (30.8 ft/s),,,
th-55,https://globalmilitary.net/aircraft/th-55/,TH-55 Osage,2,8.8 m (28.9 ft),7.7 m (25.3 ft),2.5 m (8.2 ft),,435 kg (959 lbs),"703 kg (1,550 lbs)",1 × Lycoming HIO-360-A1A 4-cylinder piston engine 130 kW each,140 km/h (87 mph),480 km (298 mi),"4,000 m (13,123 ft)",5.8 m/s (19.0 ft/s),,,
ts-11-iskra,https://globalmilitary.net/aircraft/ts-11-iskra/,TS-11 Iskra,,11.2 m (36.6 ft),10.1 m (33.0 ft),3.5 m (11.5 ft),17.5 m² (188.4 sqft),"2,560 kg (5,644 lbs)","3,840 kg (8,466 lbs)","1 × turbojet PZL-Rzeszów SO-3 1,000 kgf each",720 km/h (447 mph),"1,250 km (777 mi)","11,000 m (36,089 ft)",14.8 m/s (48.6 ft/s),,S-3,
mastiff,https://globalmilitary.net/aircraft/mastiff/,Tadiran Mastiff,,3.3 m (10.8 ft),4.3 m (13.9 ft),0.9 m (2.9 ft),,72 kg (159 lbs),138 kg (304 lbs),1 × Limbach Flugmotoren,185 km/h (115 mph),,"4,480 m (14,698 ft)",,,,7 hours
taranis,https://globalmilitary.net/aircraft/taranis/,Taranis,,4 m (13.1 ft),10 m (32.8 ft),,,,,1 × Rolls-Royce Adour engine,,,"12,192 m (40,000 ft)",,,,
tecnam-p2002,https://globalmilitary.net/aircraft/tecnam-p2002/,Tecnam P2002,1,6.6 m (21.7 ft),8.6 m (28.2 ft),2.4 m (8.0 ft),11.5 m² (123.8 sqft),331 kg (730 lbs),"598 kg (1,318 lbs)",1 × piston Rotax 912 S2 74 kW each,250 km/h (155 mph),"1,092 km (679 mi)","3,995 m (13,107 ft)",6.2 m/s (20.3 ft/s),,,
p2006t,https://globalmilitary.net/aircraft/p2006t/,Tecnam P2006T,1,8.7 m (28.5 ft),11.4 m (37.4 ft),2.8 m (9.3 ft),14.8 m² (158.8 sqft),"760 kg (1,676 lbs)","1,180 kg (2,601 lbs)",2 × pistons engine Rotax 912S3 75 kW each,287 km/h (178 mph),"1,722 km (1,070 mi)","4,267 m (13,999 ft)",6.4 m/s (21.0 ft/s),"448 m (1,470 ft)",,5 hours
tejas,https://globalmilitary.net/aircraft/tejas/,Tejas,1–2,13.2 m (43.3 ft),8.2 m (26.9 ft),4.4 m (14.4 ft),38.4 m² (413.3 sqft),"6,560 kg (14,462 lbs)","13,500 kg (29,762 lbs)","1 × General Electric F404-GE-IN20 afterburning turbofan 8,600 kgf each",2220 km/h (Mach 2.22),"3,000 km (1,864 mi)","16,000 m (52,493 ft)",,,Martin-Baker Mk 16A,
tornado,https://globalmilitary.net/aircraft/tornado/,Tornado,"2 (pilot, WSO)",16.7 m (54.9 ft),13.9 m (45.6 ft),6.0 m (19.5 ft),26.6 m² (286.3 sqft),"13,890 kg (30,622 lbs)","28,000 kg (61,729 lbs)","2 × turbofans Turbo-Union RB.199-34R Mk 103 7,831 kgf each",2420 km/h (Mach 2.42),"3,890 km (2,417 mi)","15,240 m (50,000 ft)",76.7 m/s (251.6 ft/s),,Martin-Baker Mk 10,
tsaigumi,https://globalmilitary.net/aircraft/tsaigumi/,Tsaigumi,,,6.8 m (22.3 ft),,,,95 kg (209 lbs),1 × piston engine,,,"4,600 m (15,092 ft)",,,,10 hours
tu-123,https://globalmilitary.net/aircraft/tu-123/,Tu-123 Yastreb,,27.8 m (91.3 ft),8.4 m (27.6 ft),4.8 m (15.7 ft),,"11,450 kg (25,243 lbs)","35,610 kg (78,507 lbs)",1 × Tumansky KR-15 98 kN each,2700 km/h (Mach 2.7),"3,200 km (1,988 mi)","22,800 m (74,803 ft)",,,,
tu-126,https://globalmilitary.net/aircraft/tu-126/,Tu-126 Moss,12,56.5 m (185.4 ft),51.4 m (168.6 ft),16.1 m (52.7 ft),311.1 m² (3348.6 sqft),"103,000 kg (227,076 lbs)","171,000 kg (376,990 lbs)","4 × Kuznetsov NK-12MV 11,033 kW each",790 km/h (491 mph),"7,000 km (4,350 mi)","10,700 m (35,105 ft)",,,,10 hours
tu-128-fiddler,https://globalmilitary.net/aircraft/tu-128-fiddler/,Tu-128 Fiddler,"2 (pilot, WSO)",27.2 m (89.2 ft),18.1 m (59.4 ft),7 m (23.0 ft),80 m² (861.1 sqft),"24,500 kg (54,013 lbs)","43,000 kg (94,799 lbs)","2 × turbojets AL-7F-2 10,105 kgf each",1665 km/h (Mach 1.67),"2,565 km (1,594 mi)","15,600 m (51,181 ft)",125.0 m/s (410.1 ft/s),,Tupolev KT-1,
tu-134-crusty,https://globalmilitary.net/aircraft/tu-134-crusty/,Tu-134 Crusty,,37.1 m (121.7 ft),29 m (95.1 ft),9.0 m (29.6 ft),127.3 m² (1370.2 sqft),"27,960 kg (61,641 lbs)","47,600 kg (104,940 lbs)","2 × turbofans Soloviev D-30-II 6,799 kgf each",950 km/h (590 mph),"3,000 km (1,864 mi)","12,100 m (39,698 ft)",,,,
tu-141,https://globalmilitary.net/aircraft/tu-141/,Tu-141 Strizh,,14.3 m (47.0 ft),3.9 m (12.7 ft),2.4 m (8.0 ft),10 m² (107.6 sqft),,"6,215 kg (13,702 lbs)",1 × Tumansky KR-17A 19 kN each,1100 km/h (Mach 1.1),"1,000 km (621 mi)","6,000 m (19,685 ft)",,,,
tu-142,https://globalmilitary.net/aircraft/tu-142/,Tu-142,11–13,53.1 m (174.1 ft),50 m (164.0 ft),12.1 m (39.8 ft),311.1 m² (3348.6 sqft),"90,000 kg (198,416 lbs)","185,000 kg (407,855 lbs)","4 × Kuznetsov NK-12MP 11,033 kW each",925 km/h (575 mph),"12,550 km (7,798 mi)","12,000 m (39,370 ft)",,,,
tu-143,https://globalmilitary.net/aircraft/tu-143/,Tu-143 Reys,,8.1 m (26.4 ft),2.2 m (7.3 ft),1.5 m (5.1 ft),,,"1,230 kg (2,712 lbs)",1 × Klimov turbojet TR3-117,950 km/h (590 mph),200 km (124 mi),"5,000 m (16,404 ft)",,,,0 hours
tu-144-charger,https://globalmilitary.net/aircraft/tu-144-charger/,Tu-144 Charger,3,65.7 m (215.6 ft),28.8 m (94.5 ft),12.6 m (41.2 ft),506.4 m² (5450.3 sqft),"99,200 kg (218,698 lbs)","207,000 kg (456,356 lbs)",4 × turbojets Kolesov RD-36-51 240 kN each,2500 km/h (Mach 2.5),"6,500 km (4,039 mi)","20,000 m (65,617 ft)",50.0 m/s (164.0 ft/s),,,
tu-154-careless,https://globalmilitary.net/aircraft/tu-154-careless/,Tu-154 Careless,3,48 m (157.5 ft),37.6 m (123.2 ft),11.4 m (37.4 ft),202 m² (2174.3 sqft),"55,300 kg (121,915 lbs)","104,000 kg (229,280 lbs)","3 × turbofans Soloviev D-30KU-154 10,503 kgf each",913 km/h (567 mph),"6,600 km (4,101 mi)","12,100 m (39,698 ft)",,,,
tu-16-badger,https://globalmilitary.net/aircraft/tu-16-badger/,Tu-16 Badger,6–9,34.8 m (114.2 ft),33 m (108.3 ft),10.4 m (34.0 ft),165 m² (1776.0 sqft),"37,200 kg (82,012 lbs)","79,000 kg (174,165 lbs)","2 × turbojets Mikouline AM-3 9,525 kgf each",1050 km/h (Mach 1.05),"7,200 km (4,474 mi)","12,800 m (41,995 ft)",,,,
