SLUG,URL,PAGE_FOUND
h125m,https://globalmilitary.net/aircraft/h125m/,7
h135m,https://globalmilitary.net/aircraft/h135m/,7
h145m,https://globalmilitary.net/aircraft/h145m/,7
h155,https://globalmilitary.net/aircraft/h155/,7
h160m,https://globalmilitary.net/aircraft/h160m/,7
h175,https://globalmilitary.net/aircraft/h175/,7
h215m,https://globalmilitary.net/aircraft/h215m/,7
h225m,https://globalmilitary.net/aircraft/h225m/,7
hf-24-marut,https://globalmilitary.net/aircraft/hf-24-marut/,7
hh-3-jolly-green-giant,https://globalmilitary.net/aircraft/hh-3-jolly-green-giant/,7
hh-52-seaguard,https://globalmilitary.net/aircraft/hh-52-seaguard/,7
hh-60-pave-hawk,https://globalmilitary.net/aircraft/hh-60-pave-hawk/,7
hjt-16-kiran,https://globalmilitary.net/aircraft/hjt-16-kiran/,7
hpt-32-deepak,https://globalmilitary.net/aircraft/hpt-32-deepak/,7
hs-748,https://globalmilitary.net/aircraft/hs-748/,7
htt-40,https://globalmilitary.net/aircraft/htt-40/,7
harfang,https://globalmilitary.net/aircraft/harfang/,7
harrier,https://globalmilitary.net/aircraft/harrier/,7
hawk,https://globalmilitary.net/aircraft/hawk/,7
hawker-400,https://globalmilitary.net/aircraft/hawker-400/,7
hawker-800,https://globalmilitary.net/aircraft/hawker-800/,7
hermes-450,https://globalmilitary.net/aircraft/hermes-450/,7
hermes-900,https://globalmilitary.net/aircraft/hermes-900/,7
hurjet,https://globalmilitary.net/aircraft/hurjet/,7
hurkus,https://globalmilitary.net/aircraft/hurkus/,7
ia-58-pucara,https://globalmilitary.net/aircraft/ia-58-pucara/,7
ia-63-pampa,https://globalmilitary.net/aircraft/ia-63-pampa/,7
iai-harop,https://globalmilitary.net/aircraft/iai-harop/,7
iai-harpy,https://globalmilitary.net/aircraft/iai-harpy/,7
heron,https://globalmilitary.net/aircraft/heron/,7
iai-scout,https://globalmilitary.net/aircraft/iai-scout/,7
searcher,https://globalmilitary.net/aircraft/searcher/,7
iar-823,https://globalmilitary.net/aircraft/iar-823/,7
iar-93-j22-orao,https://globalmilitary.net/aircraft/iar-93-j22-orao/,7
iar-99-soim,https://globalmilitary.net/aircraft/iar-99-soim/,7
il-10-beast,https://globalmilitary.net/aircraft/il-10-beast/,7
il-112,https://globalmilitary.net/aircraft/il-112/,7
il-114,https://globalmilitary.net/aircraft/il-114/,7
il-14-crate,https://globalmilitary.net/aircraft/il-14-crate/,8
il-18-coot,https://globalmilitary.net/aircraft/il-18-coot/,8
il-2-sturmovik,https://globalmilitary.net/aircraft/il-2-sturmovik/,8
il-20,https://globalmilitary.net/aircraft/il-20/,8
il-276,https://globalmilitary.net/aircraft/il-276/,8
il-28-beagle,https://globalmilitary.net/aircraft/il-28-beagle/,8
il-38-may,https://globalmilitary.net/aircraft/il-38-may/,8
il-62-classic,https://globalmilitary.net/aircraft/il-62-classic/,8
il-76-candid,https://globalmilitary.net/aircraft/il-76-candid/,8
il-78-midas,https://globalmilitary.net/aircraft/il-78-midas/,8
il-80,https://globalmilitary.net/aircraft/il-80/,8
il-86-camber,https://globalmilitary.net/aircraft/il-86-camber/,8
il-96,https://globalmilitary.net/aircraft/il-96/,8
iomax-archangel,https://globalmilitary.net/aircraft/iomax-archangel/,8
italmas,https://globalmilitary.net/aircraft/italmas/,8
j10-vigorous-dragon,https://globalmilitary.net/aircraft/j10-vigorous-dragon/,8
j11-flanker-l,https://globalmilitary.net/aircraft/j11-flanker-l/,8
j12,https://globalmilitary.net/aircraft/j12/,8
j-15-flanker-k,https://globalmilitary.net/aircraft/j-15-flanker-k/,8
j-16-flanker-n,https://globalmilitary.net/aircraft/j-16-flanker-n/,8
j20-kraguj,https://globalmilitary.net/aircraft/j20-kraguj/,8
j20-mighty-dragon,https://globalmilitary.net/aircraft/j20-mighty-dragon/,8
j21-jastreb,https://globalmilitary.net/aircraft/j21-jastreb/,8
j29-tunnan,https://globalmilitary.net/aircraft/j29-tunnan/,8
j35-draken,https://globalmilitary.net/aircraft/j35-draken/,8
j36,https://globalmilitary.net/aircraft/j36/,8
j5-fresco,https://globalmilitary.net/aircraft/j5-fresco/,8
j50,https://globalmilitary.net/aircraft/j50/,8
j6-farmer,https://globalmilitary.net/aircraft/j6-farmer/,8
j7-fishcan,https://globalmilitary.net/aircraft/j7-fishcan/,8
j8-finback,https://globalmilitary.net/aircraft/j8-finback/,8
ja-37-viggen,https://globalmilitary.net/aircraft/ja-37-viggen/,8
jas-39-gripen,https://globalmilitary.net/aircraft/jas-39-gripen/,8
jf-17-thunder,https://globalmilitary.net/aircraft/jf-17-thunder/,8
jh-7-flounder,https://globalmilitary.net/aircraft/jh-7-flounder/,8
jl-10,https://globalmilitary.net/aircraft/jl-10/,8
jl-8,https://globalmilitary.net/aircraft/jl-8/,8
jl-9,https://globalmilitary.net/aircraft/jl-9/,8
jaguar,https://globalmilitary.net/aircraft/jaguar/,8
jasoos-ii,https://globalmilitary.net/aircraft/jasoos-ii/,8
jetstream-31,https://globalmilitary.net/aircraft/jetstream-31/,8
jetstream-41,https://globalmilitary.net/aircraft/jetstream-41/,8
kaan,https://globalmilitary.net/aircraft/kaan/,8
kc-10-extender,https://globalmilitary.net/aircraft/kc-10-extender/,8
kc-130-hercules,https://globalmilitary.net/aircraft/kc-130-hercules/,8
kc-135-stratotanker,https://globalmilitary.net/aircraft/kc-135-stratotanker/,8
kc-46-pegasus,https://globalmilitary.net/aircraft/kc-46-pegasus/,8
kc-767,https://globalmilitary.net/aircraft/kc-767/,8
kf-21-boramae,https://globalmilitary.net/aircraft/kf-21-boramae/,9
kj-200,https://globalmilitary.net/aircraft/kj-200/,9
kj-2000,https://globalmilitary.net/aircraft/kj-2000/,9
kj-500,https://globalmilitary.net/aircraft/kj-500/,9
kq-200,https://globalmilitary.net/aircraft/kq-200/,9
kt-1-woongbi,https://globalmilitary.net/aircraft/kt-1-woongbi/,9
kt-100,https://globalmilitary.net/aircraft/kt-100/,9
kub-bla,https://globalmilitary.net/aircraft/kub-bla/,9
kuh-1-surion,https://globalmilitary.net/aircraft/kuh-1-surion/,9
kus-fs,https://globalmilitary.net/aircraft/kus-fs/,9
kzo,https://globalmilitary.net/aircraft/kzo/,9
ka-22-hoop,https://globalmilitary.net/aircraft/ka-22-hoop/,9
ka-226-hoodlum-c,https://globalmilitary.net/aircraft/ka-226-hoodlum-c/,9
ka-25-hormone,https://globalmilitary.net/aircraft/ka-25-hormone/,9
ka-26,https://globalmilitary.net/aircraft/ka-26/,9
ka-27-helix,https://globalmilitary.net/aircraft/ka-27-helix/,9
ka-29-helix-b,https://globalmilitary.net/aircraft/ka-29-helix-b/,9
ka-31,https://globalmilitary.net/aircraft/ka-31/,9
ka-50-hokum,https://globalmilitary.net/aircraft/ka-50-hokum/,9
ka-52-hokum-b,https://globalmilitary.net/aircraft/ka-52-hokum-b/,9
ka-60-kasatka,https://globalmilitary.net/aircraft/ka-60-kasatka/,9
kaman-22,https://globalmilitary.net/aircraft/kaman-22/,9
karayel,https://globalmilitary.net/aircraft/karayel/,9
kargu,https://globalmilitary.net/aircraft/kargu/,9
karrar,https://globalmilitary.net/aircraft/karrar/,9
kawasaki-c1,https://globalmilitary.net/aircraft/kawasaki-c1/,9
c2-kawasaki,https://globalmilitary.net/aircraft/c2-kawasaki/,9
kawasaki-p1,https://globalmilitary.net/aircraft/kawasaki-p1/,9
kawasaki-t4,https://globalmilitary.net/aircraft/kawasaki-t4/,9
kfir,https://globalmilitary.net/aircraft/kfir/,9
king-air-350,https://globalmilitary.net/aircraft/king-air-350/,9
king-air,https://globalmilitary.net/aircraft/king-air/,9
korsar,https://globalmilitary.net/aircraft/korsar/,9
hesa-kowsar,https://globalmilitary.net/aircraft/hesa-kowsar/,9
kronshtadt-orion,https://globalmilitary.net/aircraft/kronshtadt-orion/,9
l159-alca,https://globalmilitary.net/aircraft/l159-alca/,9
